NEIGHBORHOOD,LATITUDE,LONGITUDE
FOURTH WARD,29.7597721,-95.38438454
SECOND WARD,29.75140425,-95.33565941
DOWNTOWN,29.75946447,-95.37060316
CLINTON PARK TRI-COMMUNITY,29.74719173,-95.26990248
GREATER UPTOWN,29.74511512,-95.4653068
GREATER INWOOD,29.87801346,-95.4699983
GREATER HOBBY AREA,29.63196184,-95.27469926
GOLFCREST / BELLFORT / REVEILLE,29.67873512,-95.30254693
ELDRIDGE / WEST OAKS,29.72715889,-95.61511458
WASHINGTON AVENUE COALITION / MEMORIAL PARK,29.77728395,-95.43517782
GREATER FIFTH WARD,29.78479926,-95.3239413
DENVER HARBOR / PORT HOUSTON,29.76217337,-95.30254194
PLEASANTVILLE AREA,29.76728405,-95.27438123
NORTHSHORE,29.77595579,-95.2175443
LAZYBROOK / TIMBERGROVE,29.80175757,-95.43789913
GREATER HEIGHTS,29.79609939,-95.3998757
KASHMERE GARDENS,29.80016206,-95.31717592
MINNETEX,29.61152208,-95.32408397
NEAR NORTHSIDE,29.80436125,-95.36255493
SPRING BRANCH EAST,29.8026485,-95.47741092
SPRING BRANCH NORTH,29.82220738,-95.54483544
EL DORADO / OATES PRAIRIE,29.80517423,-95.24455983
SPRING BRANCH CENTRAL,29.81616816,-95.51480804
HUNTERWOOD,29.81661758,-95.21426688
SETTEGAST,29.81557072,-95.2814926
LANGWOOD,29.82594858,-95.49306589
INDEPENDENCE HEIGHTS,29.82809496,-95.39819529
CENTRAL NORTHWEST,29.83263657,-95.44541898
TRINITY / HOUSTON GARDENS,29.83079192,-95.30193622
CARVERDALE,29.85887185,-95.54595418
EASTEX - JENSEN AREA,29.84847425,-95.34256119
EAST HOUSTON,29.83566046,-95.25790059
ACRES HOMES,29.87053652,-95.43542176
NORTHSIDE/NORTHLINE,29.85865606,-95.38523411
HIDDEN VALLEY,29.88969842,-95.41823632
EAST LITTLE YORK / HOMESTEAD,29.87204637,-95.29506809
WILLOWBROOK,29.95588408,-95.54533876
GREATER GREENSPOINT,29.94035006,-95.41430947
IAH / AIRPORT AREA,29.972994,-95.324844
KINGWOOD AREA,30.05080434,-95.18070692
LAKE HOUSTON,30.018524,-95.112694
FAIRBANKS / NORTHWEST CROSSING,29.85028171,-95.51585059
WESTBRANCH,29.83839438,-95.55193876
SHARPSTOWN,29.70578102,-95.52120851
WESTWOOD,29.67529769,-95.55101766
FORT BEND HOUSTON,29.589905,-95.492226
FONDREN GARDENS,29.62620358,-95.50155838
SOUTH BELT / ELLINGTON,29.60035577,-95.21544646
SOUTH ACRES / CRESTMONT PARK,29.62793496,-95.35605614
BRAYS OAKS,29.65544901,-95.52710556
CENTRAL SOUTHWEST,29.62872919,-95.43054704
SUNNYSIDE,29.65841349,-95.36833746
ALIEF,29.68261175,-95.59298575
PECAN PARK,29.70668534,-95.28548402
CLEAR LAKE,29.58580393,-95.13110326
WESTBURY,29.65362518,-95.47941198
WILLOW MEADOWS / WILLOWBEND AREA,29.67297063,-95.43988224
BRAEBURN,29.6770381,-95.52854214
SOUTH MAIN,29.67267109,-95.42015567
SOUTH PARK,29.66619062,-95.33712463
ASTRODOME AREA,29.68494923,-95.40207675
GREATER OST / SOUTH UNION,29.69107438,-95.3523805
PARK PLACE,29.69531335,-95.26452661
MEADOWBROOK / ALLENDALE,29.68796206,-95.24545575
MEDICAL CENTER AREA,29.70607915,-95.3987264
GULFTON,29.71657471,-95.48077031
MACGREGOR,29.71039192,-95.3561535
GULFGATE RIVERVIEW / PINE VALLEY,29.70835849,-95.31574563
HARRISBURG / MANCHESTER,29.71834995,-95.26025575
UNIVERSITY PLACE,29.71848055,-95.40875964
WESTCHASE,29.72791697,-95.57157882
MUSEUM PARK,29.72591279,-95.38254022
LAWNDALE / WAYSIDE,29.72434355,-95.31069726
GREENWAY / UPPER KIRBY AREA,29.73259618,-95.43300934
GREATER THIRD WARD,29.72778562,-95.35084374
MID WEST,29.73749768,-95.51398236
GREATER EASTWOOD,29.73552622,-95.33395407
MIDTOWN,29.74074184,-95.37576898
BRAESWOOD,29.6895875,-95.4386908
MEYERLAND AREA,29.68651434,-95.46438128
EDGEBROOK AREA,29.64530225,-95.22710279
MAGNOLIA PARK,29.73717081,-95.290696
AFTON OAKS / RIVER OAKS AREA,29.74803,-95.435028
BRIAR FOREST,29.74787985,-95.57191059
NEARTOWN - MONTROSE,29.7427683,-95.39947425
MEMORIAL,29.77269086,-95.57568061
SPRING BRANCH WEST,29.79083629,-95.54627688
ADDICKS PARK TEN,29.81303859,-95.64458168
